frame,timestamp_sec,occupancy,max_occupancy_so_far
497,16.54,1,1
498,16.573,1,1
499,16.607,1,1
500,16.64,1,1
501,16.673,1,1
502,16.707,1,1
503,16.74,1,1
504,16.773,1,1
505,16.806,1,1
506,16.84,1,1
507,16.873,1,1
508,16.906,1,1
509,16.94,1,1
510,16.973,1,1
511,17.006,1,1
512,17.039,1,1
513,17.073,1,1
514,17.106,1,1
515,17.139,1,1
516,17.173,1,1
517,17.206,1,1
518,17.239,1,1
519,17.272,1,1
520,17.306,1,1
521,17.339,1,1
522,17.372,1,1
523,17.405,1,1
524,17.439,1,1
525,17.472,1,1
526,17.505,1,1
527,17.539,1,1
528,17.572,1,1
529,17.605,1,1
530,17.638,1,1
531,17.672,1,1
532,17.705,1,1
533,17.738,1,1
534,17.772,1,1
535,17.805,1,1
536,17.838,1,1
537,17.871,1,1
538,17.905,1,1
539,17.938,1,1
540,17.971,1,1
541,18.005,1,1
542,18.038,1,1
543,18.071,1,1
544,18.104,1,1
545,18.138,1,1
546,18.171,1,1
547,18.204,1,1
548,18.237,1,1
549,18.271,1,1
550,18.304,1,1
551,18.337,1,1
552,18.371,1,1
553,18.404,1,1
554,18.437,1,1
555,18.47,1,1
556,18.504,1,1
557,18.537,1,1
558,18.57,1,1
559,18.604,1,1
560,18.637,1,1
561,18.67,1,1
562,18.703,1,1
563,18.737,1,1
564,18.77,1,1
565,18.803,1,1
566,18.837,1,1
567,18.87,1,1
568,18.903,1,1
569,18.936,1,1
570,18.97,1,1
571,19.003,1,1
572,19.036,1,1
573,19.069,1,1
574,19.103,1,1
575,19.136,1,1
576,19.169,1,1
577,19.203,1,1
578,19.236,1,1
579,19.269,1,1
580,19.302,1,1
581,19.336,1,1
582,19.369,1,1
583,19.402,1,1
584,19.436,1,1
585,19.469,1,1
586,19.502,1,1
587,19.535,1,1
588,19.569,1,1
589,19.602,1,1
590,19.635,1,1
591,19.669,1,1
592,19.702,1,1
593,19.735,1,1
594,19.768,1,1
595,19.802,1,1
596,19.835,1,1
597,19.868,1,1
598,19.901,1,1
599,19.935,1,1
600,19.968,1,1
601,20.001,1,1
602,20.035,1,1
603,20.068,1,1
604,20.101,1,1
605,20.134,1,1
606,20.168,1,1
607,20.201,1,1
608,20.234,1,1
609,20.268,1,1
610,20.301,1,1
611,20.334,1,1
612,20.367,1,1
613,20.401,1,1
614,20.434,1,1
615,20.467,1,1
616,20.501,1,1
617,20.534,1,1
618,20.567,1,1
619,20.6,1,1
620,20.634,1,1
621,20.667,1,1
622,20.7,1,1
623,20.733,1,1
624,20.767,0,1
625,20.8,0,1
626,20.833,0,1
627,20.867,0,1
628,20.9,0,1
629,20.933,0,1
630,20.966,0,1
631,21.0,0,1
632,21.033,0,1
633,21.066,0,1
634,21.1,0,1
635,21.133,0,1
636,21.166,0,1
637,21.199,0,1
638,21.233,0,1
639,21.266,0,1
640,21.299,0,1
641,21.333,0,1
642,21.366,0,1
643,21.399,0,1
644,21.432,0,1
645,21.466,0,1
646,21.499,0,1
647,21.532,0,1
648,21.566,0,1
649,21.599,0,1
650,21.632,0,1
651,21.665,0,1
652,21.699,0,1
653,21.732,0,1
654,21.765,0,1
655,21.798,0,1
656,21.832,0,1
657,21.865,0,1
658,21.898,0,1
659,21.932,0,1
660,21.965,0,1
661,21.998,0,1
662,22.031,0,1
663,22.065,0,1
664,22.098,0,1
665,22.131,0,1
666,22.165,0,1
667,22.198,0,1
668,22.231,0,1
669,22.264,0,1
670,22.298,0,1
671,22.331,0,1
672,22.364,0,1
673,22.398,0,1
674,22.431,0,1
675,22.464,0,1
676,22.497,0,1
677,22.531,0,1
678,22.564,0,1
679,22.597,0,1
680,22.63,0,1
681,22.664,0,1
682,22.697,0,1
683,22.73,0,1
684,22.764,0,1
685,22.797,0,1
686,22.83,0,1
687,22.863,0,1
688,22.897,0,1
689,22.93,0,1
690,22.963,0,1
691,22.997,0,1
692,23.03,0,1
693,23.063,0,1
694,23.096,0,1
695,23.13,0,1
696,23.163,0,1
697,23.196,0,1
698,23.23,0,1
699,23.263,0,1
700,23.296,0,1
701,23.329,0,1
702,23.363,0,1
703,23.396,0,1
704,23.429,0,1
705,23.462,0,1
706,23.496,0,1
707,23.529,0,1
708,23.562,0,1
709,23.596,0,1
710,23.629,0,1
711,23.662,0,1
712,23.695,0,1
713,23.729,0,1
714,23.762,0,1
715,23.795,0,1
716,23.829,0,1
717,23.862,0,1
718,23.895,0,1
